Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/qc_penalty	loss/lagrangian	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.15535830528140043	0.0424148275727405	0.2584363045539049	-0.8892030390452591	-9.80567967773936e-05	5.5213423040163394e-05	101.4	377.7207020597382	300.0	2499.0	2499.0
4999	0.13931243115365508	0.21697389599467617	1.1220038087321504	-2.1890106362342823	0.08782275700440399	0.19096096117292075	21.1	335.00734329288537	300.0	4999.0	4999.0
7499	0.13370709577500783	0.4348408908516389	2.218281448486106	1.9402362976074208	5.340801964671913	4.5242329013824465	35.6	353.196782086056	300.0	4999.0	7499.0
9999	0.1310979785829785	0.6015717429794581	2.6878048050351904	27.934732159996084	32.26342916488641	15.90126302070615	63.8	396.57638149364686	300.0	4999.0	9999.0
12499	0.12963119495511088	0.760850189456326	3.033834463120942	92.18109627075218	97.2958040908815	33.92670105667113	54.0	330.51862387003666	300.0	4999.0	12499.0
14999	0.12852682310342833	0.915373146822125	3.427783258080375	207.72724169921858	213.51683196105958	58.29423207092283	67.5	394.91055902125925	300.0	4999.0	14999.0
17499	0.12720973543226707	1.0577979463357747	3.7205857412712993	369.32980424194295	375.6858100830081	88.04913048095695	21.3	239.5903486449808	300.0	4999.0	17499.0
19999	0.12682941283583649	1.18519038826243	4.024853073051747	578.5784212646481	585.3931956420888	122.01264674682619	41.5	344.18840065556367	300.0	4999.0	19999.0
22499	0.12620995852649214	1.2728921697160371	4.1672094379468	838.6891878173826	845.8791292968749	159.85452619628884	58.0	365.7579033171935	300.0	4999.0	22499.0
24999	0.1255583883881568	1.3466026688421497	4.23858577370487	1144.2690411132803	1151.7783189697257	201.1553458190918	24.1	348.80826755920856	300.0	4999.0	24999.0
27499	0.12535898844897753	1.4419208283709848	4.625099092125491	1478.6458395507825	1486.408346191405	245.4198585754392	49.6	332.00140454975	300.0	4999.0	27499.0
29999	0.12481932272911096	1.5084676977459113	4.679825114980964	1840.4698853515647	1848.4362962890614	291.8729104370121	46.6	369.5932496096924	300.0	4999.0	29999.0
32499	0.12511957914829236	1.5866838891764354	4.956879227567598	2224.232018701177	2232.344345361331	340.2925443115233	52.8	382.7583577757441	300.0	4999.0	32499.0
34999	0.12459611584842196	1.642390012868353	5.171471636408109	2608.1046613281223	2616.312062744138	390.02960762939375	56.5	428.3547576447204	300.0	4999.0	34999.0
37499	0.12430901679992687	1.7232810242718646	5.518621627264668	3009.6607717773427	3017.934542382808	440.9190240234364	31.4	285.46345989311794	300.0	4999.0	37499.0
39999	0.12402938908636561	1.7570460923948488	5.637644397333869	3429.676398339849	3437.997099804686	492.74159024658184	28.5	265.5828516586361	300.0	4999.0	39999.0
42499	0.12463772007226946	1.792111857033655	5.870604772819386	3875.0683757812485	3883.4253120117173	545.5967935058592	30.7	340.90720130973097	300.0	4999.0	42499.0
44999	0.1236940983235834	1.8045627030363454	6.212377857944368	4306.057945605465	4314.425620312504	599.3130526367199	26.2	275.2330134205918	300.0	4999.0	44999.0
47499	0.12360374507904053	1.913373500897152	6.442150461003552	4724.864809374999	4733.220170898445	653.5263436523433	30.9	343.57334837437867	300.0	4999.0	47499.0
49999	0.123718183273077	1.8844002727621483	6.454368796326964	5125.964849316407	5134.294845605458	707.8965474365247	22.2	275.38303544503987	300.0	4999.0	49999.0
52499	0.12336608176827428	1.945336646321454	6.896466202504291	5529.875092773438	5538.191263085942	762.3310178222658	59.3	364.0614529714237	300.0	4999.0	52499.0
54999	0.12320500049293037	1.9869969638881104	7.218965122682443	5894.383304492183	5902.655702734361	816.6929610839842	34.5	346.3377779520978	300.0	4999.0	54999.0
57499	0.12331641574203954	1.9985090564807384	7.364376469318082	6266.953254687497	6275.197287499998	870.8055315917961	35.3	302.69671477771004	300.0	4999.0	57499.0
59999	0.12292545016407963	2.0263565531386996	7.455820775003951	6602.559712500009	6610.77470058594	924.699062353516	24.0	324.03876418280146	300.0	4999.0	59999.0
62499	0.12280153945088396	2.0707377021123827	7.726160958510158	6872.06757324219	6880.222750781255	977.8528834960939	35.6	322.04638346941624	300.0	4999.0	62499.0
64999	0.12282595984935775	2.085983183298544	7.93776709262029	7042.315907031251	7050.396470703115	1029.9615352294925	42.5	273.8694715095026	300.0	4999.0	64999.0
67499	0.12252677362263202	2.12826258659935	8.267028338713798	7251.738958789063	7259.7584066406225	1080.7942370605479	22.1	253.1605878065124	300.0	4999.0	67499.0
69999	0.12294406462907784	2.1460547161457004	8.550807494800768	7466.038018164053	7473.98005976562	1130.725732080077	19.8	254.22323143501907	300.0	69999.0	69999.0
72499	0.122393735972047	2.130945234617321	8.539502940555517	7615.08252851562	7622.962026562494	1179.7473878417993	21.6	309.1752748166065	300.0	69999.0	72499.0
74999	0.12246326111257076	2.272996961780771	9.141026948172696	7708.855557421871	7716.652384570311	1227.5767944335946	32.0	290.2512785357114	300.0	69999.0	74999.0
77499	0.12228687018752071	2.2726062753563174	9.467349062113698	7753.872460742181	7761.573622851561	1273.9896747070284	46.1	333.30999195606057	300.0	69999.0	77499.0
79999	0.12193719021379945	2.2865296918613147	9.689700272284172	7816.562858203124	7824.185365624986	1319.0663719726547	42.0	331.6145981541846	300.0	69999.0	79999.0
